student_id,age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_tools_used,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,last_exam_score,assignment_scores_avg,attendance_percentage,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score,passed,performance_category
1,20,Female,1st Year,2.5,1,170,None,Exam Prep,10,29,56,5,29,40.9,98.8,4,9.0,8.1,7.2,1.5,4.6,6,36.8,0,Low
2,17,Male,12th,3.4,1,123,None,Notes,4,14,65,1,60,87.2,89.3,8,8.5,13.8,7.6,5.1,2.7,6,65.5,1,Medium
3,24,Male,3rd Year,0.8,0,35,Copilot,Doubt Solving,8,82,8,5,98,77.1,50.8,7,2.1,39.1,5.7,0.2,4.0,3,66.3,1,Medium
4,21,Female,12th,4.4,0,45,ChatGPT+Gemini,Notes,3,74,106,10,67,86.4,52.1,5,6.7,25.2,8.2,4.2,2.9,2,69.5,1,Medium
5,18,Other,3rd Year,3.5,1,21,ChatGPT+Gemini,Coding,2,83,7,10,40,69.4,40.7,5,5.4,2.7,8.7,0.2,2.9,2,49.7,1,Low
6,20,Male,1st Year,5.1,1,34,Copilot,Coding,10,24,95,6,43,98.9,88.1,9,8.0,13.4,5.5,3.7,2.1,4,77.9,1,High
7,23,Female,1st Year,2.0,1,112,ChatGPT+Gemini,None,8,37,57,5,93,71.5,50.2,9,9.6,3.7,5.8,1.6,3.4,5,82.2,1,High
8,16,Male,3rd Year,5.5,0,174,ChatGPT,Homework,4,42,70,6,42,57.7,97.1,6,4.3,13.2,6.0,0.4,2.5,6,52.7,1,Medium
9,20,Female,10th,6.0,1,32,Copilot,None,9,29,37,9,99,97.7,67.1,9,7.8,18.8,5.4,1.6,4.2,4,81.7,1,High
10,24,Female,1st Year,5.6,0,140,None,Doubt Solving,3,39,19,7,88,35.2,42.7,7,2.9,38.5,7.2,0.7,4.6,1,66.7,1,Medium
11,24,Female,10th,4.8,1,55,Copilot,Homework,9,58,46,5,52,66.0,78.6,6,4.8,23.9,8.5,1.3,2.5,8,54.3,1,Medium
12,21,Male,10th,5.0,0,66,Copilot,Homework,10,22,78,10,55,74.2,46.6,2,7.5,21.8,6.1,4.1,1.3,4,50.7,1,Medium
13,18,Female,3rd Year,3.7,1,12,ChatGPT+Gemini,Coding,6,43,102,9,44,54.2,79.4,3,1.8,-14.2,4.9,5.0,2.2,10,44.5,1,Low
14,17,Female,10th,1.5,1,49,Copilot,Coding,5,80,27,5,77,36.4,80.9,9,8.8,-0.8,5.0,2.6,3.5,3,62.0,1,Medium
15,21,Male,10th,4.2,1,27,Gemini,None,2,0,94,5,85,58.7,43.0,1,9.3,-3.2,7.6,2.5,2.5,8,56.7,1,Medium
16,21,Male,11th,4.4,0,103,Gemini,Doubt Solving,6,77,59,6,50,86.7,92.7,7,8.8,-14.0,7.7,2.8,2.0,8,66.2,1,Medium
17,16,Male,12th,5.9,1,97,ChatGPT,Coding,4,81,21,8,63,70.0,63.2,1,1.0,32.3,6.4,2.8,0.1,8,48.0,1,Low
18,19,Male,10th,3.5,1,95,Copilot,Doubt Solving,5,40,103,1,82,83.1,59.3,10,8.2,28.8,7.8,1.4,0.9,3,90.6,1,High
19,18,Female,12th,2.0,0,86,Copilot,Notes,6,61,112,9,64,80.2,79.4,7,9.1,27.4,6.6,5.9,4.2,7,64.9,1,Medium
20,15,Male,10th,4.3,1,87,None,None,7,59,50,8,69,50.1,96.1,8,9.9,-9.4,5.5,4.0,3.8,8,61.2,1,Medium
21,21,Male,12th,5.9,1,151,ChatGPT+Gemini,Exam Prep,4,79,23,7,86,47.7,98.2,3,1.3,16.0,4.7,4.6,0.4,4,57.0,1,Medium
22,19,Female,1st Year,1.5,1,124,None,None,8,9,97,5,90,85.4,89.9,2,6.1,11.6,6.6,2.7,0.5,4,67.7,1,Medium
23,15,Male,1st Year,2.3,0,80,Claude,Notes,5,72,72,1,20,41.9,86.2,5,8.9,16.8,8.2,4.6,4.7,2,36.8,0,Low
24,18,Female,12th,3.5,1,6,None,Coding,7,77,60,7,90,69.6,72.7,3,7.6,27.2,8.6,4.1,4.0,1,68.4,1,Medium
25,14,Male,10th,1.4,1,73,Claude,Exam Prep,6,65,1,9,86,96.9,72.4,10,8.7,-14.4,4.3,5.0,2.0,1,76.4,1,High
26,23,Female,11th,0.6,1,82,Copilot,Exam Prep,5,56,108,3,28,66.8,76.6,7,7.3,-8.5,8.6,0.3,4.9,1,40.3,1,Low
27,19,Female,12th,2.4,0,23,ChatGPT,None,7,41,88,8,54,86.5,99.0,10,1.2,-3.1,4.9,0.3,4.9,7,60.3,1,Medium
28,22,Female,2nd Year,5.3,1,136,Gemini,None,4,53,75,3,32,47.9,42.0,2,8.9,8.2,7.0,3.4,5.0,3,29.0,0,Low
29,14,Male,11th,0.7,1,113,Copilot,Homework,7,84,54,3,45,34.1,68.3,7,6.6,15.1,6.2,2.3,1.9,1,36.4,0,Low
30,24,Female,2nd Year,2.9,0,14,Copilot,Exam Prep,3,41,3,7,64,54.4,52.7,2,3.2,-1.7,7.5,4.8,2.7,5,47.7,1,Low
31,24,Male,12th,4.7,1,112,ChatGPT,Doubt Solving,8,65,114,6,70,70.2,76.4,7,7.1,-13.4,6.6,1.0,3.3,6,67.5,1,Medium
32,23,Male,10th,5.7,1,121,ChatGPT,Coding,10,69,103,5,44,74.8,75.0,7,5.6,10.4,5.9,1.5,4.1,1,68.6,1,Medium
33,16,Male,2nd Year,5.9,0,85,Claude,Coding,4,10,57,7,75,67.5,96.1,4,7.5,-16.4,4.4,2.5,1.0,2,57.6,1,Medium
